Person,Party,ProgressiveConservative,LeftRight,Seats,Gender,Age
Edson_Olf,Bij1,92,-95,1,M,37
Esther_Ouwehand,PvdD,82,-95,6,F,47
Frans_Timmermans,GL-PVDA,66,-55,17,M,62
Laurens_Dassen,Volt,84,-14,3,M,38
Stephan_van_Baarle,Denk,32,-68,3,M,32
Rob_Jetten,D66,58,-5,24,M,36
Lilian_Marijnissen,SP,21,-77,9,F,38
Mirjam_Bikker,CU,21,-32,6,F,41
Pieter_Omtzigt,NSC,-8,-9,1,M,49
Henri_Bontenbal,CDA,-24,23,15,M,41
Dilan_Yesilgoz,VVD,-32,50,34,F,46
Caroline_van_der_Plas,BBB,-42,9,1,F,56
Chris_Stoffer,SGP,-42,27,3,M,49
Geert_Wilders,PVV,-74,9,17,M,60
Thierry_Baudet,FVD,-92,64,8,M,40
Joost_Eerdmans,JA21,-89,77,3,M,52
Wybren_van_Haga,BVNL,-89,100,1,M,56


